company_id,year,free_cash_flow_cr,cfo_quality_score,cfo_quality_label,capex_cr,capex_label,fcf_conversion_rate
APOLLOHOSP,Mar 2018,132.0,8.95,High Quality,4.91325973553318,Moderate,16.479400749063668
APOLLOHOSP,Mar 2019,194.0,4.525,High Quality,7.393157949464491,Moderate,18.13084112149533
APOLLOHOSP,Mar 2020,1004.0,2.9930555555555554,High Quality,2.569574108651196,Asset Light,63.10496543054682
APOLLOHOSP,Mar 2021,385.0,9.233576642335766,High Quality,8.333333333333332,Capital Intensive,33.771929824561404
APOLLOHOSP,Mar 2022,949.0,1.5306859205776173,High Quality,5.094455432039828,Moderate,43.35312928277752
APOLLOHOSP,Mar 2023,520.0,1.6315165876777251,High Quality,5.158921261738502,Moderate,25.181598062954
APOLLOHOSP,Mar 2024,383.0,2.053475935828877,High Quality,8.064431502177449,Capital Intensive,15.998329156223893
APOLLOHOSP,TTM,,,Accrual Risk,,Capital Intensive,
ASIANPAINT,Mar 2013,724.0,1.0232758620689655,High Quality,4.407844630616908,Moderate,41.681059297639614
ASIANPAINT,Mar 2014,816.0,1.110055423594616,High Quality,4.795417348608838,Moderate,40.7185628742515
ASIANPAINT,Mar 2015,723.0,0.8325157673440785,Moderate,3.4153507161219245,Moderate,32.23361569326795
ASIANPAINT,Mar 2016,1377.0,1.2440377149195785,High Quality,6.068250297806741,Moderate,50.53211009174312
ASIANPAINT,Mar 2017,846.0,0.7574404761904762,Moderate,4.521311910768822,Moderate,28.256513026052104
ASIANPAINT,Mar 2018,557.0,1.0071496663489037,High Quality,9.248142644873699,Capital Intensive,17.384519350811487
ASIANPAINT,Mar 2019,1552.0,1.118659420289855,High Quality,4.771309771309771,Moderate,41.221779548472774
ASIANPAINT,Mar 2020,2520.0,1.0951694304253785,High Quality,2.5629607639404286,Asset Light,60.62063988453211
ASIANPAINT,Mar 2021,3142.0,1.1484253196133458,High Quality,2.491594897066274,Asset Light,64.70345963756178
ASIANPAINT,Mar 2022,669.0,0.3196110210696921,Accrual Risk,1.089309645716642,Asset Light,13.925895087427145
ASIANPAINT,Mar 2023,2911.0,0.999523241954708,Moderate,3.7171271999768045,Moderate,46.501597444089455
ASIANPAINT,Mar 2024,3556.0,1.0982367758186398,High Quality,7.17847584166784,Moderate,46.88200395517469
ASIANPAINT,TTM,,,Accrual Risk,,Capital Intensive,
ATGL,Mar 2018,,,Accrual Risk,,Capital Intensive,
ATGL,Mar 2019,,,Accrual Risk,,Capital Intensive,
ATGL,Mar 2020,,,Accrual Risk,,Capital Intensive,
ATGL,Mar 2021,,,Accrual Risk,,Capital Intensive,
ATGL,Mar 2022,,,Accrual Risk,,Capital Intensive,
ATGL,Mar 2023,,,Accrual Risk,,Capital Intensive,
ATGL,Mar 2024,,,Accrual Risk,,Capital Intensive,
ATGL,TTM,,,Accrual Risk,,Capital Intensive,
BAJAJ-AUTO,Mar 2013,824.0,0.7079476540057453,Moderate,6.961298377028714,Moderate,22.538293216630198
BAJAJ-AUTO,Mar 2014,1430.0,1.036094674556213,High Quality,10.28951680985251,Capital Intensive,34.350228200816716
BAJAJ-AUTO,Mar 2015,1734.0,0.6986120290812955,Moderate,1.7596665894883075,Asset Light,42.00581395348838
BAJAJ-AUTO,Mar 2016,3622.0,0.9086431913321842,Moderate,0.30123150527155135,Asset Light,75.56853745044857
BAJAJ-AUTO,Mar 2017,-343.0,0.8009316008825692,Moderate,16.593886462882097,Capital Intensive,-7.744411831113118
BAJAJ-AUTO,Mar 2018,2374.0,1.0258355060440862,High Quality,7.7508925029750095,Moderate,48.98885678910442
BAJAJ-AUTO,Mar 2019,2214.0,0.5046672077922078,Moderate,0.8992687265300744,Asset Light,42.59330511735283
BAJAJ-AUTO,Mar 2020,5616.0,0.7386799693016116,Moderate,5.902603696647615,Moderate,109.92366412213741
BAJAJ-AUTO,Mar 2021,251.0,0.6423718344657195,Moderate,10.342092931040698,Capital Intensive,5.0830295666261645
BAJAJ-AUTO,Mar 2022,4473.0,0.6806681803438209,Moderate,0.8327047820184039,Asset Light,85.05419281232174
BAJAJ-AUTO,Mar 2023,6488.0,0.8707920792079208,Moderate,3.3219037169112604,Moderate,100.35576179427687
BAJAJ-AUTO,Mar 2024,6486.0,0.8508043591074209,Moderate,0.16046356139959886,Asset Light,73.99885909868796
BAJAJ-AUTO,TTM,,,Accrual Risk,,Capital Intensive,
AXISBANK,Mar 2013,-8366.0,0.4968140567677158,Accrual Risk,40.2420630541147,Capital Intensive,-100.63755563575123
AXISBANK,Mar 2014,298.0,2.326149887423609,High Quality,46.23217257922392,Capital Intensive,3.090004147656574
AXISBANK,Mar 2015,-23134.0,-2.060614297363414,Accrual Risk,22.469629921925645,Capital Intensive,-207.90869057248136
AXISBANK,Mar 2016,-25284.0,-4.19443093385214,Accrual Risk,22.47243095540158,Capital Intensive,-189.15239021470788
AXISBANK,Mar 2017,19751.0,8.754824680619734,High Quality,27.96910780836065,Capital Intensive,82.95950940860214
AXISBANK,Mar 2018,-48397.0,-139.09420289855072,Accrual Risk,21.858890345128877,Capital Intensive,-167.49264578646824
AXISBANK,Mar 2019,18451.0,7.937780628608082,High Quality,33.96137198559634,Capital Intensive,67.94697109187994
AXISBANK,Mar 2020,20931.0,18.694529809465273,High Quality,15.14329049253612,Capital Intensive,59.690298294644386
AXISBANK,Mar 2021,-41655.0,1.9175774134790529,High Quality,85.70075458592493,Capital Intensive,-131.2009827081168
AXISBANK,Mar 2022,1025.0,2.1602303262955855,High Quality,40.239250782908115,Capital Intensive,3.420999933248782
AXISBANK,Mar 2023,-10276.0,2.3042797494780793,High Quality,37.986707998684885,Capital Intensive,-35.32606827323043
AXISBANK,Mar 2024,-14556.0,-0.2234423394071035,Accrual Risk,8.229937185125584,Capital Intensive,-38.36280736894816
AXISBANK,TTM,,,Accrual Risk,,Capital Intensive,
BAJAJFINSV,Mar 2013,-3969.0,-3.1264679313459802,Accrual Risk,36.660459342023586,Capital Intensive,-100.96667514627322
BAJAJFINSV,Mar 2014,-6043.0,-4.476038338658147,Accrual Risk,62.49377386684376,Capital Intensive,-134.55800489868625
BAJAJFINSV,Mar 2015,-7022.0,-4.454545454545454,Accrual Risk,32.721658579620645,Capital Intensive,-127.41789148974777
BAJAJFINSV,Mar 2016,-10681.0,-3.5297297297297296,Accrual Risk,4.315005113719379,Moderate,-158.4953257159816
BAJAJFINSV,Mar 2017,-10771.0,-3.165797101449275,Accrual Risk,0.6161504876157833,Asset Light,-123.61987834270629
BAJAJFINSV,Mar 2018,-20502.0,-4.688697318007663,Accrual Risk,2.805672204978394,Asset Light,-190.04449388209122
BAJAJFINSV,Mar 2019,-33979.0,-5.038332713062895,Accrual Risk,16.20232367093064,Capital Intensive,-225.96927578639355
BAJAJFINSV,Mar 2020,-33317.0,-3.898732065398732,Accrual Risk,18.303251090136335,Capital Intensive,-182.4789133530507
BAJAJFINSV,Mar 2021,863.0,0.6172118908646668,Moderate,6.0800105624504885,Moderate,4.393869965887684
BAJAJFINSV,Mar 2022,-32225.0,-4.049795525619437,Accrual Risk,2.1123878022395695,Asset Light,-150.19808902353765
BAJAJFINSV,Mar 2023,-53425.0,-3.2334152334152333,Accrual Risk,16.99117847743445,Capital Intensive,-178.87036293022632
BAJAJFINSV,Mar 2024,-79634.0,-4.403590894517474,Accrual Risk,9.929155115870342,Capital Intensive,-194.77082619967717
BAJAJFINSV,TTM,,,Accrual Risk,,Capital Intensive,
BAJAJHLDNG,Mar 2013,104.0,0.2548491379310345,Accrual Risk,109.49554896142433,Capital Intensive,32.298136645962735
BAJAJHLDNG,Mar 2014,353.0,0.4386317907444668,Accrual Risk,122.69503546099291,Capital Intensive,88.25
BAJAJHLDNG,Mar 2015,332.0,0.39231148348940365,Accrual Risk,88.54961832061069,Capital Intensive,68.59504132231406
BAJAJHLDNG,Mar 2016,2166.0,0.506401766004415,Moderate,216.8085106382979,Capital Intensive,504.8951048951049
BAJAJHLDNG,Mar 2017,-1295.0,-0.3732308936514355,Accrual Risk,44.180522565320665,Capital Intensive,-206.21019108280257
BAJAJHLDNG,Mar 2018,508.0,0.6143126177024482,Moderate,267.38095238095235,Capital Intensive,143.09859154929578
BAJAJHLDNG,Mar 2019,465.0,0.20603674540682415,Accrual Risk,37.81902552204176,Capital Intensive,134.0057636887608
BAJAJHLDNG,Mar 2020,1120.0,0.6233766233766234,Moderate,183.90804597701148,Capital Intensive,372.09302325581393
BAJAJHLDNG,Mar 2021,-36.0,0.07443897099069513,Accrual Risk,67.39606126914661,Capital Intensive,-10.227272727272728
BAJAJHLDNG,Mar 2022,1459.0,0.39020843431895297,Accrual Risk,31.198347107438018,Capital Intensive,397.54768392370573
BAJAJHLDNG,Mar 2023,1591.0,0.3493732308936514,Accrual Risk,26.245210727969347,Capital Intensive,418.6842105263158
BAJAJHLDNG,Mar 2024,1469.0,0.26354378818737273,Accrual Risk,27.73207990599295,Capital Intensive,94.0460947503201
BAJAJHLDNG,TTM,,,Accrual Risk,,Capital Intensive,
BAJFINANCE,Mar 2015,-7424.0,-7.866369710467706,Accrual Risk,6.6765578635014835,Moderate,-423.7442922374429
BAJFINANCE,Mar 2016,-10557.0,-7.716966379984362,Accrual Risk,9.412248253185368,Capital Intensive,-448.4706881903144
BAJFINANCE,Mar 2017,-13486.0,-5.685729847494553,Accrual Risk,30.561685055165494,Capital Intensive,-414.95384615384614
BAJFINANCE,Mar 2018,-19491.0,-8.239583333333334,Accrual Risk,8.434018515612742,Capital Intensive,-473.65735115431346
BAJFINANCE,Mar 2019,-34441.0,-7.27459324155194,Accrual Risk,29.09612159896143,Capital Intensive,-631.4814814814815
